Company Name,Tier 1 or 2,Size,Glassdoor rating,Industry,"Funding info
(Crunchbase, 
for startups)","1st connections
on LinkedIn","2nd connections
on LinkedIn",Website,Notes
Acme Corp,Tier 2,100-500,4.6,Telecom,"10M Series from
ABC ventures",John Smith,,http://acmecorp.com,Interesting company. Have a 10-person  team that hires junior roles.
Citibank,Tier 2,500+,,Banking,,,,https://www.linkedin.com/jobs/view/1883589475/,Sr. Reference Data Business Analyst - SQL
Venmo,Tier 2,,,Payment Services,,,,https://www.linkedin.com/jobs/view/1676571907/,Data Analyst
Abnormal Security,Tier 2,,,Email Security,,,,https://www.linkedin.com/jobs/view/1687160188/,Machine Learning Engineer
Via,Tier 2,,,Transportation,,,,https://www.linkedin.com/jobs/view/1846569652/,Data Scientist
Spotify,Tier 2,,,Music,,,,https://www.linkedin.com/jobs/view/1857263152/,Data Scientist - Machine Learning Platform
Tishman Speyer,Tier 2,,,Real Estate,,,,https://www.linkedin.com/jobs/view/1862405807/,Data Analyst/Junior ML Analyst
Point 72,Tier 2,,,Financial Services,,,,https://www.linkedin.com/jobs/view/1846578673/,Data Scientist - Analytics Team
Pathrise,Tier 2,,,Professional Training & Coaching,,,,https://www.linkedin.com/jobs/view/1877990159/,Data Scientist Entry Level - Pathrise Recruiting Partner
Petal,Tier 2,,,Financial Services,,,,https://www.linkedin.com/jobs/view/1899826013/,Director / Manager of Fraud Risk Management
WEX,Tier 2,,,Payment Services,,,,https://www.linkedin.com/jobs/view/1862692397/,Senior Credit Modeling and Fraud Analyst
ITA,Tier 1,,,Tennis,,Tim Russell,,https://www.itatennis.com/ITA/About_Us/About_the_ITA/ITA/About_Us.aspx,Parent of College Tennis Alumni Network
UTR,Tier 1,,,Tennis,,Dave Fish,,https://www.myutr.com/,Universal Tennis Ratings
Playsight,Tier 2,,,Tennis Video,,,,https://playsight.com/,Video Analytics
AceSpace Courts,Tier 1,,,Tennis Startup,,Chris Sabaitis,,https://www.acespacecourts.com/,Offer to pitch tennis facilities to onboard
Facebook,Tier 2,,,Social Media,,,,,Pipe dream
LinkedIn,Tier 2,,,Social Media,,,,,Pipe dream
Amazon,Tier 2,,,Ecommerce,,,,,Pipe dream
Wells Fargo,Tier 2,,,Banking,,,,,Internal Move?
SMBC,Tier 2,,,Banking,,,,,Posted Reg Job but filled
DTCC,Tier 2,,,Regulatory,,,,,On mailing list
New York Life,Tier 2,,,Insurance,,,,,On mailing list